label,area,macroarea,depth,side,full_name
1040,parahippocampal_R,temporal,subcortical_white_matter,R,right parahippocampal white matter
1041,amygdala_L,temporal,subcortical_white_matter,L,left amygdalar white matter
1042,amygdala_R,temporal,subcortical_white_matter,R,right amygdalar white matter
1043,calcarine_L,occipital,subcortical_white_matter,L,left calcarine white matter
1044,calcarine_R,occipital,subcortical_white_matter,R,right calcarine white matter
1045,cuneus_L,occipital,subcortical_white_matter,L,left cuneus white matter
1046,cuneus_R,occipital,subcortical_white_matter,R,right cuneus white matter
1047,lingual_L,occipital,subcortical_white_matter,L,left lingual white matter
1048,lingual_R,occipital,subcortical_white_matter,R,right lingual white matter
1049,occipital_sup_L,occipital,subcortical_white_matter,L,left superior occipital white matter
1050,occipital_sup_R,occipital,subcortical_white_matter,R,right superior occipital white matter
1051,occipital_mid_L,occipital,subcortical_white_matter,L,left middle occipital white matter
1052,occipital_mid_R,occipital,subcortical_white_matter,R,right middle occipital white matter
1053,occipital_inf_L,occipital,subcortical_white_matter,L,left inferior occipital white matter
1054,occipital_inf_R,occipital,subcortical_white_matter,R,right inferior occipital white matter
1055,fusiform_L,temporal,subcortical_white_matter,L,left fusiform white matter
1056,fusiform_R,temporal,subcortical_white_matter,R,right fusiform white matter
1057,postcentral_L,parietal,subcortical_white_matter,L,left postcentral white matter
1058,postcentral_R,parietal,subcortical_white_matter,R,right postcentral white matter
1059,parietal_sup_L,parietal,subcortical_white_matter,L,left superior parietal white matter
1060,parietal_sup_R,parietal,subcortical_white_matter,R,right superior parietal white matter
1061,parietal_inf_L,parietal,subcortical_white_matter,L,left inferior parietal white matter
1062,parietal_inf_R,parietal,subcortical_white_matter,R,right inferior parietal white matter
1063,supramarginal_L,parietal,subcortical_white_matter,L,left supramarginal white matter
1064,supramarginal_R,parietal,subcortical_white_matter,R,right supramarginal white matter
1065,angular_L,parietal,subcortical_white_matter,L,left angular white matter
1066,angular_R,parietal,subcortical_white_matter,R,right angular white matter
1067,precuneus_L,parietal,subcortical_white_matter,L,left precuneus white matter
1068,precuneus_R,parietal,subcortical_white_matter,R,right precuneus white matter
1069,paracentral_Lobule_L,parietal,subcortical_white_matter,L,left paracentral lobule white matter
1070,paracentral_Lobule_R,parietal,subcortical_white_matter,R,right paracentral lobule white matter
1079,heschl_L,temporal,subcortical_white_matter,L,left Heschl's gyrus white matter
1080,heschl_R,temporal,subcortical_white_matter,R,right Heschl's gyrus white matter
1081,temporal_sup_L,temporal,subcortical_white_matter,L,left superior temporal white matter
1082,temporal_sup_R,temporal,subcortical_white_matter,R,right superior temporal white matter
1083,temporal_pole_sup_L,temporal,subcortical_white_matter,L,left superior temporal pole white matter
1084,temporal_pole_sup_R,temporal,subcortical_white_matter,R,right superior temporal pole white matter
1085,temporal_mid_L,temporal,subcortical_white_matter,L,left middle temporal white matter
1086,temporal_mid_R,temporal,subcortical_white_matter,R,right middle temporal white matter
1087,temporal_pole_mid_L,temporal,subcortical_white_matter,L,left middle temporal pole white matter
1088,temporal_pole_mid_R,temporal,subcortical_white_matter,R,right middle temporal pole white matter
1089,temporal_inf_L,temporal,subcortical_white_matter,L,left inferior temporal white matter
1090,temporal_inf_R,temporal,subcortical_white_matter,R,right inferior temporal white matter
1091,cerebelum_crus1_L,cerebellum,subcortical_white_matter,L,left cerebellar crus 1 white matter
1092,cerebelum_crus1_R,cerebellum,subcortical_white_matter,R,right cerebellar crus 1 white matter
1093,cerebelum_crus2_L,cerebellum,subcortical_white_matter,L,left cerebellar crus 2 white matter
1094,cerebelum_crus2_R,cerebellum,subcortical_white_matter,R,right cerebellar crus 2 white matter
1095,cerebelum_3_L,cerebellum,subcortical_white_matter,L,left cerebellar lobule 3 white matter
1096,cerebelum_3_R,cerebellum,subcortical_white_matter,R,right cerebellar lobule 3 white matter
1097,cerebelum_4_5_L,cerebellum,subcortical_white_matter,L,left cerebellar lobules 4 and 5 white matter
1098,cerebelum_4_5_R,cerebellum,subcortical_white_matter,R,right cerebellar lobules 4 and 5 white matter
1099,cerebelum_6_L,cerebellum,subcortical_white_matter,L,left cerebellar lobule 6 white matter
1100,cerebelum_6_R,cerebellum,subcortical_white_matter,R,right cerebellar lobule 6 white matter
1101,cerebelum_7b_L,cerebellum,subcortical_white_matter,L,left cerebellar lobule 7b white matter
1102,cerebelum_7b_R,cerebellum,subcortical_white_matter,R,right cerebellar lobule 7b white matter
1103,cerebelum_8_L,cerebellum,subcortical_white_matter,L,left cerebellar lobule 8 white matter
1104,cerebelum_8_R,cerebellum,subcortical_white_matter,R,right cerebellar lobule 8 white matter
1105,cerebelum_9_L,cerebellum,subcortical_white_matter,L,left cerebellar lobule 9 white matter
1106,cerebelum_9_R,cerebellum,subcortical_white_matter,R,right cerebellar lobule 9 white matter
1107,cerebelum_10_L,cerebellum,subcortical_white_matter,L,left cerebellar lobule 10 white matter
1108,cerebelum_10_R,cerebellum,subcortical_white_matter,R,right cerebellar lobule 10 white matter
1128,vermis_6,cerebellum,cortex,median,cerebellar vermis lobule 6
1129,vermis_7,cerebellum,cortex,median,cerebellar vermis lobule 7
1130,vermis_8,cerebellum,cortex,median,cerebellar vermis lobule 8
1131,cerebellar_white_matter_R,cerebellum,deep_white_matter,R,right cerebellar white matter
1132,cerebellar_white_matter_L,cerebellum,deep_white_matter,L,left cerebellar white matter
2001,frontal_white_matter_L,frontal,deep_white_matter,L,left frontal deep white matter
2002,frontal_white_matter_R,frontal,deep_white_matter,R,right frontal deep white matter
2003,occipital_white_matter_L,occipital,deep_white_matter,L,left occipital deep white matter
2004,occipital_white_matter_R,occipital,deep_white_matter,R,right occipital deep white matter
2005,parietal_white_matter_L,parietal,deep_white_matter,L,left parietal deep white matter
2006,parietal_white_matter_R,parietal,deep_white_matter,R,right parietal deep white matter
2007,temporal_white_matter_L,temporal,deep_white_matter,L,left temporal deep white matter
2008,temporal_white_matter_R,temporal,deep_white_matter,R,right temporal deep white matter
2009,medulla_oblongata,brainstem,deep_white_matter,median,medulla oblongata
2010,midbrain_L,brainstem,deep_white_matter,L,left midbrain
2011,midbrain_R,brainstem,deep_white_matter,R,right midbrain
2012,insular_white_matter_L,insular,deep_white_matter,L,left insular deep white matter
2013,insular_white_matter_R,insular,deep_white_matter,R,right insular deep white matter
2014,capsular_system_L,lentiform_nuclei,deep_white_matter,L,left capsular system
2015,capsular_system_R,lentiform_nuclei,deep_white_matter,R,right capsular system
